gene_names,BRCA
TF,TFAP2A;TFAP2C;TFAP2E;TFAP4;TFB2M;TFCP2L1;TFDP1;TFDP2;TFE3;TFEB;TFEC;TFF1;TFF3;TFG;TFPI2;TFPI;TFPT;TFR2;TFRC;TF
NLRP1,NLRP10;NLRP11;NLRP12;NLRP13;NLRP14;NLRP1
SLC7A8,SLC7A8
XYLB,XYLB
SUCO,
WHRN,
BRPF3,
ITPR3,ITPR3
HNRNPH3,HNRNPH3
ACOT7,ACOT7
ARVCF,
RANBP1,RANBP10;RANBP17;RANBP1
THOC5,THOC5
APOL4,APOL4
PRMT5,PRMT5
PSMA3,PSMA3
HIF1A,HIF1AN
SUSD6,
PCK2,PCK2
PNN,
GSS,GSS
PSMA7,PSMA7
ARFRP1,ARFRP1
SEC23B,SEC23B
KIF3B,KIF3B
SNTA1,SNTA1
AHCY,AHCYL1;AHCY
POLA1,POLA1
KCND1,KCND1
TAZ,TAZ
TIMP1,TIMP1
ARMCX3,ARMCX3
SLC7A6,SLC7A6OS;SLC7A6
LAPTM4B,LAPTM4B
BNIP3L,BNIP3L
PIH1D1,PIH1D1
C19orf53,C19orf53
RPS16,
GPI,GPIHBP1;GPI
RPS19,RPS19BP1
PPP2R1A,PPP2R1A
ZC3HAV1,ZC3HAV1
CPED1,
GRB10,GRB10
GARS1,
CYP3A5,CYP3A5
RPA3,RPA3
EZH2,EZH2
CEP41,
EIF4H,EIF4H
NPM3,NPM3
GBF1,GBF1
PSMD3,PSMD3
NUP88,NUP88
EZH1,EZH1
LRRC59,LRRC59
DHX15,DHX15
FOXRED1,FOXRED1
COMMD9,
ACCS,ACCS
SELPLG,SELPLG
KRT18,KRT18
CDKN1B,
CDK2AP1,CDK2AP1
GTF2H3,
CHD4,CHD4
ASF1A,
FANCE,FANCE
PHACTR1,PHACTR1
HSPA9,HSPA9
SPARC,SPARCL1
RAD50,
NUP155,NUP155
C5orf15,C5orf15
SMAD5,SMAD5OS;SMAD5
FAM162A,FAM162A
PDCD10,PDCD10
HES1,
ACAP2,ACAP2
GNB4,
EEF1B2,EEF1B2
PCGF1,PCGF1
FARSB,FARSB
SRSF4,
LEPR,LEPRE1;LEPREL1;LEPREL2;LEPROT;LEPR
RO60,
UCHL5,UCHL5
PLEKHM2,PLEKHM2
CRYZ,CRYZL1;CRYZ
KIF21B,
RIMS3,RIMS3
GALE,GALE
CDC20,CDC20B;CDC20
SLC19A2,SLC19A2
MTFR1L,
RPS6KA1,RPS6KA1
FBXO30,FBXO30
CPSF3,CPSF3L;CPSF3
RAD23B,RAD23B
PTPA,
PPP6C,PPP6C
YLPM1,YLPM1
RBM25,RBM25
YPEL5,YPEL5
HOXB8,HOXB8
NUDCD1,NUDCD1
EXOSC8,EXOSC8
MRPS2,MRPS21;MRPS22;MRPS23;MRPS24;MRPS25;MRPS26;MRPS27;MRPS28;MRPS2
ZNF644,ZNF644
TRIR,
OPTN,OPTN
NCKAP1L,
NFE2,NFE2L1;NFE2L2;NFE2L3;NFE2
NDUFAF4,NDUFAF4
NMI,NMI
MAD2L1BP,MAD2L1BP
DNAH8,DNAH8
MT2A,MT2A
C3,C3orf14;C3orf15;C3orf16;C3orf17;C3orf18;C3orf19;C3orf1;C3orf21;C3orf23;C3orf26;C3orf30;C3orf31;C3orf32;C3orf33;C3orf34;C3orf36;C3orf38;C3orf42;C3orf45;C3orf47;C3orf49;C3orf50;C3orf52;C3orf54;C3orf55;C3orf57;C3orf58;C3orf59;C3orf63;C3orf64;C3orf65;C3orf66;C3orf67;C3orf70;C3orf71;C3orf72;C3orf74;C3orf75;C3
RBCK1,RBCK1
